start_time,recon_error,is_anomaly
2013-12-17 15:48:00,0.0032715085,0
2013-12-17 16:20:00,0.0033802253,0
2013-12-17 16:52:00,0.0034392264,0
2013-12-17 17:24:00,0.003187864,0
2013-12-17 17:56:00,0.0021354086,0
2013-12-17 19:00:00,0.0029197554,0
2013-12-17 20:04:00,0.0014358634,0
2013-12-17 20:36:00,0.0013278807,0
2013-12-17 21:40:00,0.03974697,0
2013-12-17 22:44:00,0.039567273,0
2013-12-17 23:16:00,0.040394604,0
2013-12-17 23:48:00,0.040442664,0
2013-12-18 00:20:00,0.042158574,0
2013-12-18 01:56:00,0.005584989,0
2013-12-18 03:00:00,0.0063232053,0
2013-12-18 03:32:00,0.0037090993,0
2013-12-18 04:04:00,0.0034393114,0
2013-12-18 04:36:00,0.0027722332,0
2013-12-18 06:12:00,0.000654732,0
2013-12-18 07:16:00,0.00070976315,0
2013-12-18 07:48:00,0.0008230313,0
2013-12-18 09:24:00,0.001034606,0
2013-12-18 10:28:00,0.0013767775,0
2013-12-18 11:00:00,0.0016858694,0
2013-12-18 11:32:00,0.0013675214,0
2013-12-18 13:08:00,0.0010792902,0
2013-12-18 13:40:00,0.0027416279,0
2013-12-18 14:12:00,0.0026921635,0
2013-12-18 14:44:00,0.0044631213,0
2013-12-18 16:20:00,0.003959315,0
2013-12-18 16:52:00,0.004224186,0
2013-12-18 17:24:00,0.0043674805,0
2013-12-18 17:56:00,0.003120157,0
2013-12-18 18:28:00,0.002932503,0
2013-12-18 19:00:00,0.00090788846,0
2013-12-18 20:36:00,0.0024838732,0
2013-12-18 21:08:00,0.002036607,0
2013-12-18 21:40:00,0.0019426637,0
2013-12-18 22:44:00,0.0019970168,0
2013-12-19 00:52:00,0.0012191588,0
2013-12-19 01:24:00,0.0012041826,0
2013-12-19 01:56:00,0.0011943821,0
2013-12-19 02:28:00,0.0014125173,0
2013-12-19 03:00:00,0.001443764,0
2013-12-19 04:04:00,0.00096201984,0
2013-12-19 04:36:00,0.0010291736,0
2013-12-19 05:08:00,0.00078780734,0
2013-12-19 06:12:00,0.0007688636,0
2013-12-19 08:20:00,0.00050889986,0
2013-12-19 09:56:00,0.0005996243,0
2013-12-19 11:32:00,0.00044516718,0
2013-12-19 12:36:00,0.00039121363,0
2013-12-19 13:08:00,0.00037018114,0
2013-12-19 13:40:00,0.0008860771,0
2013-12-19 14:44:00,0.0034959547,0
2013-12-19 15:16:00,0.0034764502,0
2013-12-19 15:48:00,0.0034789382,0
2013-12-19 17:24:00,0.003483981,0
2013-12-19 18:28:00,0.0013520062,0
2013-12-19 19:32:00,0.0018955154,0
2013-12-19 20:04:00,0.0020170896,0
2013-12-19 20:36:00,0.0023153902,0
2013-12-19 21:08:00,0.00228788,0
2013-12-19 21:40:00,0.0027578599,0
2013-12-19 22:12:00,0.002314948,0
2013-12-19 23:16:00,0.0017005503,0
2013-12-19 23:48:00,0.0012451503,0
2013-12-20 00:52:00,0.00097558287,0
2013-12-20 02:28:00,0.0015284824,0
2013-12-20 03:32:00,0.042338133,0
2013-12-20 04:04:00,0.0419664,0
2013-12-20 05:08:00,0.041993108,0
2013-12-20 05:40:00,0.041876897,0
2013-12-20 06:44:00,0.040917464,0
2013-12-20 07:16:00,0.052312613,0
2013-12-20 07:48:00,0.00074796716,0
2013-12-20 08:20:00,0.00048130736,0
2013-12-20 08:52:00,0.0004906119,0
2013-12-20 09:24:00,0.00041561687,0
2013-12-20 10:28:00,0.0004538983,0
2013-12-20 11:00:00,0.00038440328,0
2013-12-20 12:04:00,0.00054273196,0
2013-12-20 12:36:00,0.00045435235,0
2013-12-20 13:08:00,0.000710513,0
2013-12-20 13:40:00,0.0008082515,0
2013-12-20 14:12:00,0.0053685135,0
2013-12-20 14:44:00,0.0026312117,0
2013-12-20 15:48:00,0.0025845172,0
2013-12-20 16:20:00,0.0029754085,0
2013-12-20 16:52:00,0.0030856822,0
2013-12-20 17:24:00,0.0029356354,0
2013-12-20 17:56:00,0.002905458,0
2013-12-20 21:08:00,0.0010089797,0
2013-12-20 21:40:00,0.001020775,0
2013-12-20 22:12:00,0.0018523075,0
2013-12-20 22:44:00,0.0016781604,0
2013-12-20 23:16:00,0.0028423164,0
2013-12-20 23:48:00,0.0031494135,0
2013-12-21 00:20:00,0.004048016,0
2013-12-21 00:52:00,0.0040332414,0
2013-12-21 01:24:00,0.005087241,0
2013-12-21 01:56:00,0.0045689573,0
2013-12-21 02:28:00,0.004838242,0
2013-12-21 03:00:00,0.0051031094,0
2013-12-21 03:32:00,0.016007075,0
2013-12-21 04:04:00,0.026300892,0
2013-12-21 04:36:00,0.025277244,0
2013-12-21 05:08:00,0.025155386,0
2013-12-21 05:40:00,0.02441888,0
2013-12-21 06:12:00,0.024660766,0
2013-12-21 06:44:00,0.023593564,0
2013-12-21 07:16:00,0.023620846,0
2013-12-21 07:48:00,0.031343862,0
2013-12-21 09:56:00,0.0011733639,0
2013-12-21 10:28:00,0.0011291227,0
2013-12-21 11:32:00,0.0015412495,0
2013-12-21 12:36:00,0.0015019408,0
2013-12-21 13:08:00,0.0017704056,0
2013-12-21 13:40:00,0.0016142059,0
2013-12-21 14:12:00,0.001832891,0
2013-12-21 15:16:00,0.0015834741,0
2013-12-21 17:24:00,0.0016974178,0
2013-12-21 18:28:00,0.0013069735,0
2013-12-21 19:00:00,0.0012834847,0
